id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371023523129483264,1371014742186192899,2021-03-14 20:00:54 AUS Eastern Daylight Time,2021-03-14,20:00:54,+1100,1291561013909889030,contassistindo,Tô Assistindo! | Snyder Cut ✯,,@TheDCEU @PedroPascal1 O Biden olhando na listinha qual país bombardear essa semana,pt,[],[],[],0,0,1,[],[],https://twitter.com/ContAssistindo/status/1371023523129483264,False,,0,,,,,,,,"[{'screen_name': 'TheDCEU', 'name': 'DC Extended Universe', 'id': '3001437416'}, {'screen_name': 'PedroPascal1', 'name': 'Pedro Pascal he/him', 'id': '1645711686'}]",,,,
1371023445232918533,1371015229652443137,2021-03-14 20:00:36 AUS Eastern Daylight Time,2021-03-14,20:00:36,+1100,22201804,elldotweets,Edo,,@johncampea @86_clyde @NickNavarro87 @Mikenwoke3 @ben10000andre1 😂 can’t believe this is a thing people are bothered by. The whole Snyder cut/fandom thing has been toxic since day one,en,[],[],[],1,0,1,[],[],https://twitter.com/elldotweets/status/1371023445232918533,False,,0,,,,,,,,"[{'screen_name': 'johncampea', 'name': 'Giovanni Campea', 'id': '19325609'}, {'screen_name': '86_clyde', 'name': 'El Clyde', 'id': '2540027126'}, {'screen_name': 'NickNavarro87', 'name': 'Ω Nick Navarro Ω', 'id': '18401938'}, {'screen_name': 'Mikenwoke3', 'name': 'Mike Nwoke', 'id': '1219338919545688064'}, {'screen_name': 'ben10000andre1', 'name': 'Andre Edwards', 'id': '2945892304'}]",,,,
1371023356141649920,1371023356141649920,2021-03-14 20:00:15 AUS Eastern Daylight Time,2021-03-14,20:00:15,+1100,789848935594622976,das_filmmagazin,Das Filmmagazin,,"Druck von Fans im Internet kann etwas bewirken. Im Podcast besprechen wir die vielen verschiedenen positiven wie negativen Seiten der Protestbewegung, wegen der der sogenannte ""Snyder Cut"" von Justice League nun doch erscheint.  https://t.co/sF5vyAj7sW  https://t.co/NanXrhPcZV",de,[],['https://filmmagazin.audio/an-diesem-film-haben-die-fans-selbst-schuld/'],['https://pbs.twimg.com/media/EwbaegiXMAclIqa.jpg'],0,0,0,[],[],https://twitter.com/das_filmmagazin/status/1371023356141649920,False,,1,https://pbs.twimg.com/media/EwbaegiXMAclIqa.jpg,,,,,,,[],,,,
1371023314039279617,1371023314039279617,2021-03-14 20:00:05 AUS Eastern Daylight Time,2021-03-14,20:00:05,+1100,121051215,mhuyhiwar,Олумидович,,Snydercut in 5 days time.,en,[],[],[],0,0,1,[],[],https://twitter.com/mhuyhiwar/status/1371023314039279617,False,,0,,,,,,,,[],,,,
1371023305088643076,1371011870912614405,2021-03-14 20:00:02 AUS Eastern Daylight Time,2021-03-14,20:00:02,+1100,409829474,sooftc,Souphian🇫🇷 - ZSJL associate producer #FRZSJL,,"@dwayne_2814 Vie normale ? Là où on va, on a pas besoin, de vie normale #SnyderCut #ZackSnydersJusticeLeague  https://t.co/SZLAoZcoWc",fr,[],[],['https://pbs.twimg.com/tweet_video_thumb/EwbabJ5WEAEXSGh.jpg'],1,0,1,"['snydercut', 'zacksnydersjusticeleague']",[],https://twitter.com/sooftc/status/1371023305088643076,False,,1,https://pbs.twimg.com/tweet_video_thumb/EwbabJ5WEAEXSGh.jpg,,,,,,,"[{'screen_name': 'dwayne_2814', 'name': 'Dwayne 2814 🇨🇵', 'id': '3372282719'}]",,,,
1371023300428718081,1371023300428718081,2021-03-14 20:00:01 AUS Eastern Daylight Time,2021-03-14,20:00:01,+1100,1105780996803358721,tryraisins,No. 8,,will there be a superman vs everybody in the snyder cut?,en,[],[],[],0,0,0,[],[],https://twitter.com/TryRaisins/status/1371023300428718081,False,,0,,,,,,,,[],,,,
1371023299983994882,1370558750470238210,2021-03-14 20:00:01 AUS Eastern Daylight Time,2021-03-14,20:00:01,+1100,1102828412006289408,hungermanuel,Mr. Bane 🇪🇸🇦🇺,,I'll watch it again tomorrow because there's too much to unpack😅 All I will say is that it's a unique piece of cinema unlike anything you've seen before. #SnyderCut,en,[],[],[],0,1,4,['snydercut'],[],https://twitter.com/HungerManuel/status/1371023299983994882,False,,0,,,,,,,,[],,,,
1371023299979796482,1371023299979796482,2021-03-14 20:00:01 AUS Eastern Daylight Time,2021-03-14,20:00:01,+1100,1196612054037217280,knightfleck,Grayson,,4 Days until the #SnyderCut  #ZackSnydersJusticeLeague  https://t.co/IwKfQfABWU,en,[],[],['https://pbs.twimg.com/media/EwX_6lTWQAYfHHE.jpg'],1,4,24,"['snydercut', 'zacksnydersjusticeleague']",[],https://twitter.com/KnightFleck/status/1371023299979796482,False,https://twitter.com/KnightFleck/status/1370660907861282820,1,https://pbs.twimg.com/media/EwX_6lTWQAYfHHE.jpg,,,,,,,[],,,,
1371023296226074624,1371023296226074624,2021-03-14 20:00:00 AUS Eastern Daylight Time,2021-03-14,20:00:00,+1100,2629307691,cableprime,CALEB 🦇🃏,,4 Days... #ZackSnydersJusticeLeague  @ZackSnyder @snydercut  https://t.co/sRM1nA5owq,en,"[{'screen_name': 'zacksnyder', 'name': 'zack snyder', 'id': '17768307'}, {'screen_name': 'snydercut', 'name': ""zack snyder's justice league"", 'id': '1261435037288783872'}]",[],[],0,0,0,['zacksnydersjusticeleague'],[],https://twitter.com/CABLEPRIME/status/1371023296226074624,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1363157374698151945/pu/img/dFfljeJR4vmN4bp5.jpg,,,,,,,[],,,,
1371023294099505152,1371023294099505152,2021-03-14 20:00:00 AUS Eastern Daylight Time,2021-03-14,20:00:00,+1100,335842709,kinoel82,Joaquín Hernández #SaveSuperman,,4 días para ver el #SnyderCut y poder ver a #Superman y Lois sin pelucas ni frases estúpidas. #BuenosDías  https://t.co/1bVX9nxVbG,es,[],[],['https://pbs.twimg.com/media/EwYXfs-WYAkXDWF.jpg'],3,4,43,"['snydercut', 'superman', 'buenosdías']",[],https://twitter.com/Kinoel82/status/1371023294099505152,False,,1,https://pbs.twimg.com/media/EwYXfs-WYAkXDWF.jpg,,,,,,,[],,,,
1371023293474611200,1371023293474611200,2021-03-14 20:00:00 AUS Eastern Daylight Time,2021-03-14,20:00:00,+1100,950334697,lafortalezasole,FortalezaDeLaSoledad,,4 días para el #SnyderCut #FelizDomingo  https://t.co/YqPSOI1j8h,es,[],[],['https://pbs.twimg.com/media/EwYVJ2FWgAEm0p8.jpg'],0,3,51,"['snydercut', 'felizdomingo']",[],https://twitter.com/LaFortalezaSole/status/1371023293474611200,False,,1,https://pbs.twimg.com/media/EwYVJ2FWgAEm0p8.jpg,,,,,,,[],,,,
1371023291230658561,1371023291230658561,2021-03-14 19:59:59 AUS Eastern Daylight Time,2021-03-14,19:59:59,+1100,1272643352018763776,intensifieshype,*HYPE INTENSIFIES* #SnyderCut,,"RESTORE THE FUCKING SNYDER-VERSE, BABYYYY!!!! 💯💯💯🐐🐐🐐  #SnyderCut #RestoreTheSnyderVerse",en,[],[],[],0,0,0,"['snydercut', 'restorethesnyderverse']",[],https://twitter.com/IntensifiesHype/status/1371023291230658561,False,https://twitter.com/richiecastaldo/status/1371008281909420032,0,,,,,,,,[],,,,
1371023150322831361,1371023150322831361,2021-03-14 19:59:26 AUS Eastern Daylight Time,2021-03-14,19:59:26,+1100,833913854891433984,mahalo11abby,Abby 🤟🏽,,#RestoreTheSnyderVerse #SnyderCut #UsUnited #ZackSnydersJusticeLeague #RayFisherIsOurCyborg #HenryCavillSuperman  #AFSP,und,[],[],[],0,0,0,"['restorethesnyderverse', 'snydercut', 'usunited', 'zacksnydersjusticeleague', 'rayfisherisourcyborg', 'henrycavillsuperman', 'afsp']",[],https://twitter.com/Mahalo11Abby/status/1371023150322831361,False,https://twitter.com/ajhjr/status/1370880488483749890,0,,,,,,,,[],,,,
1371023118039355396,1371023118039355396,2021-03-14 19:59:18 AUS Eastern Daylight Time,2021-03-14,19:59:18,+1100,43104017,officiallyanish,Anish Sanyal,,#UsUnited #SnyderCut #ZackSnydersJusticeLeague #AFSP,und,[],[],[],0,0,1,"['usunited', 'snydercut', 'zacksnydersjusticeleague', 'afsp']",[],https://twitter.com/officiallyanish/status/1371023118039355396,False,https://twitter.com/Ray__Porter/status/1370810896650444800,0,,,,,,,,[],,,,
1371023102759596033,1371022493503393797,2021-03-14 19:59:14 AUS Eastern Daylight Time,2021-03-14,19:59:14,+1100,4121236635,nexusverse,ThatNexusGuy - Waiting for the Snyder Cut,,@ShrunkEar Chica is now scrap parts lmao,en,[],[],[],1,0,1,[],[],https://twitter.com/NexusVerse/status/1371023102759596033,False,,0,,,,,,,,"[{'screen_name': 'ShrunkEar', 'name': 'Shrunk but Ultron🎱🦆', 'id': '1024379900696961025'}]",,,,
1371023098821103619,1371023098821103619,2021-03-14 19:59:13 AUS Eastern Daylight Time,2021-03-14,19:59:13,+1100,3241823890,eyame_karl,The AfroGeek 🇬🇦 🇫🇷#ZSJL,,Quand tu vois les réactions de ceux qui ont eu la chance de voir la Snyder Cut.  ça va être bien je suis impatient.  @SuperHiveDC @sooftc   #ZackSnydersJusticeLeague #SnyderCut #RestoreTheSnyderVerse  https://t.co/boZDazJWEa,fr,"[{'screen_name': 'superhivedc', 'name': 'allie brooks', 'id': '885317962495700996'}, {'screen_name': 'sooftc', 'name': 'souphian🇫🇷 - zsjl associate producer #frzsjl', 'id': '409829474'}]",[],['https://pbs.twimg.com/tweet_video_thumb/EwbaPN2XMAYV_Xv.jpg'],1,0,6,"['zacksnydersjusticeleague', 'snydercut', 'restorethesnyderverse']",[],https://twitter.com/eyame_karl/status/1371023098821103619,False,,1,https://pbs.twimg.com/tweet_video_thumb/EwbaPN2XMAYV_Xv.jpg,,,,,,,[],,,,
